Indicator No.,Grading,Domain,Country,Score,Region,Layer
1,1,Media,Albania,0,Europe,exposure
1,1,Media,Argentina,0,South America,exposure
1,1,Media,Armenia,0,Europe,exposure
1,1,Media,Australia,2,Oceania,exposure
1,1,Media,Bolívia,0,South America,exposure
1,1,Media,Bosnia and Herzegovina,0,Europe,exposure
1,1,Media,Brazil,1,South America,exposure
1,1,Media,Cambodia,3,East & Southeast Asia,exposure
1,1,Media,Canada,4,North America,exposure
1,1,Media,Chile,1,South America,exposure
1,1,Media,Colombia,1,South America,exposure
1,1,Media,Czech Republic,3,Europe,exposure
1,1,Media,Egypt,0,North Africa & West Asia,exposure
1,1,Media,Estonia,0,Europe,exposure
1,1,Media,Ethiopia,0,Sub-Saharan Africa,exposure
1,1,Media,Georgia,0,Europe,exposure
1,1,Media,Germany,4,Europe,exposure
1,1,Media,Indonesia,2,East & Southeast Asia,exposure
1,1,Media,Japan,1,East & Southeast Asia,exposure
1,1,Media,Jordan,0,North Africa & West Asia,exposure
1,1,Media,Kazakhstan,0,Central Asia,exposure
1,1,Media,Kenya,3,Sub-Saharan Africa,exposure
1,1,Media,Kyrgyzstan,1,Central Asia,exposure
1,1,Media,Latvia,1,Europe,exposure
1,1,Media,Lebanon,0,North Africa & West Asia,exposure
1,1,Media,Malaysia,1,East & Southeast Asia,exposure
1,1,Media,Mexico,3,Central America & Caribbean,exposure
1,1,Media,Montenegro,0,Europe,exposure
1,1,Media,New Zealand,3,Oceania,exposure
1,1,Media,Paraguay,0,South America,exposure
1,1,Media,Peru,3,South America,exposure
1,1,Media,Philippines,0,East & Southeast Asia,exposure
1,1,Media,Poland,1,Europe,exposure
1,1,Media,Serbia,0,Europe,exposure
1,1,Media,Singapore,0,East & Southeast Asia,exposure
1,1,Media,South Korea,0,East & Southeast Asia,exposure
1,1,Media,Taiwan,1,East & Southeast Asia,exposure
1,1,Media,Tajikistan,3,Central Asia,exposure
1,1,Media,Thailand,3,East & Southeast Asia,exposure
1,1,Media,Turkey,0,North Africa & West Asia,exposure
1,1,Media,United Kingdom,2,Europe,exposure
1,1,Media,United States,1,North America,exposure
1,1,Media,Uruguay,0,South America,exposure
1,1,Media,Uzbekistan,0,Central Asia,exposure
