"indicator no.",grading,domain,Taiwan,Australia,"New Zealand",Indonesia,Singapore,Georgia,Kyrgyzstan,Kazakhstan,Armenia,Tajikistan,Ethiopia,Kenya,Nigeria,"South Africa",Senegal,Brazil,Bolívia,Argentina,Uruguay,Paraguay,Chile,Colombia,Mexico,Peru,Venezuela,"South Korea",Japan,Vietnam,"United States",Canada,Philippines,Thailand,Cambodia,Malaysia,Germany,Estonia,"Czech Republic","Bosnia and Herzegovina",Poland,"United Kingdom",Egypt,Jordan,Lebanon,Turkey,Serbia,India,Albania,Montenegro,Latvia,Uzbekistan,"Sierra Leone",Ghana,Tanzania,Gambia,Zambia,Slovakia,France,Bangladesh,Lithuania,Bulgaria,Austria,Hungary,Belgium,Sweden,Finland,Greece,"North Macedonia",Afghanistan,Turkmenistan,"Costa Rica",Ecuador,Panama,Romania,Moldova,Ukraine,Italy,Netherlands,Azerbaijan,Belarus,Spain,Nicaragua,Pakistan
1,1,Media,1,2,3,2,0,0,1,0,0,3,0,3,3,3,1,1,0,0,0,0,1,1,3,3,1,0,1,0,1,4,0,3,3,1,4,0,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,1,1,0,1,1,na,0,0,0,0,na,0,1,0,1,2,1,0,0,3,0,0
2,1,Media,3,1,1,1,0,0,2,3,0,3,0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,3,1,0,1,1,1,3,4,1,1,0,0,1,0,1,1,1,0,0,3,0,3,0,1,0,2,0,1,0,2,0,0,1,0,3,1,1,0,0,0,0,0,0,3,3,0,0,1,1,1,1,na,0,1,0,0,2
3,1,Media,4,4,3,4,3,4,3,3,0,3,0,3,3,3,1,na,na,3,0,0,3,1,3,4,3,4,0,0,0,4,na,2,3,2,3,0,0,0,0,2,na,3,na,3,3,1,2,4,1,1,1,4,3,4,1,na,1,1,1,3,0,na,2,na,0,1,na,1,3,3,na,4,1,3,4,3,1,na,1,0,0,4
4,1,Media,2,3,1,0,4,4,1,3,0,0,0,3,3,0,1,0,3,1,1,0,na,0,0,4,3,4,na,0,1,0,4,3,4,3,1,0,0,0,0,3,3,4,3,0,na,1,0,0,1,0,4,4,3,4,0,1,0,1,0,1,1,0,0,0,0,0,0,2,3,1,0,3,1,0,0,0,0,0,0,0,0,1
5,1,Media,4,3,3,1,4,0,2,0,0,0,0,3,0,4,1,1,1,3,0,0,3,1,3,4,3,2,1,0,2,4,3,3,3,3,3,1,1,4,1,4,4,0,4,3,1,1,1,0,0,0,0,0,1,2,0,2,1,1,0,3,1,1,1,0,1,3,0,1,0,3,1,1,3,0,2,0,na,0,0,2,3,4
6,1,Media,3,2,3,1,0,3,1,na,0,0,0,3,3,3,1,0,0,0,0,0,1,0,1,3,0,0,2,1,1,1,0,3,3,1,3,0,3,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,na,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,3,0,1
7,1,Media,3,4,3,1,3,2,3,4,0,0,0,3,3,3,3,0,0,3,1,0,3,1,1,4,3,0,3,0,3,4,3,1,3,2,4,0,1,1,0,2,3,1,3,1,1,1,2,0,2,1,0,3,0,1,na,0,3,1,0,4,0,1,1,0,1,3,0,1,0,1,1,3,1,0,na,3,0,na,0,4,3,2
8,1,Media,4,2,3,2,na,3,3,3,0,1,0,0,0,3,0,0,0,1,0,0,4,0,1,4,0,1,1,0,3,4,3,0,0,0,3,2,0,1,3,4,0,0,2,4,1,1,0,0,0,2,1,3,0,1,4,3,3,1,1,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,2,2,0,0,0,3,0,4
9,0,Media,4,4,0,4,4,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,4,4,0,4,4,4,0,0,0,4,0,0,0,0,0,4,4,0,na,0,0,4,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0
10,1,Media,4,3,3,3,0,0,0,0,0,0,na,0,0,3,0,0,0,0,1,0,0,0,0,4,0,1,0,na,3,4,3,2,3,2,1,0,0,0,na,1,0,0,1,1,0,1,0,0,0,0,1,3,1,0,1,0,na,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
11,1,Media,4,0,0,4,4,0,0,0,0,1,0,na,3,0,0,0,0,0,1,0,3,0,0,0,3,1,0,3,3,4,3,0,0,1,1,0,1,0,1,1,0,0,1,3,0,0,0,0,0,0,1,0,1,1,2,4,2,0,0,3,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,0,2,na,3,0,1
12,0,"Foreign Policy",0,4,4,0,0,4,4,4,4,4,0,4,0,4,4,4,4,4,4,0,4,4,4,4,0,4,4,4,0,0,0,4,0,4,4,4,0,0,0,0,4,4,4,4,4,4,0,4,4,0,0,4,4,0,0,4,4,0,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,0,4,4,0,4,4
13,1,"Foreign Policy",4,4,4,4,4,4,4,3,1,1,0,3,4,4,3,4,4,3,4,0,4,1,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,3,4,4,2,2,4,4,1,0,1,2,3,4,4,4,4,4,3,3,1,3,3,4,4,1,1,3,1,1,4,2,3,1,3,3,2,2,3,1,4,3,3,3,4
14,1,"Foreign Policy",0,3,3,2,4,0,4,0,1,1,3,3,4,4,0,1,1,1,3,0,2,0,3,4,4,0,na,3,0,0,4,4,4,2,0,na,0,0,0,0,0,0,3,2,0,0,1,0,0,0,4,4,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,2,4,0,1,2,0,1,3,1,0,0,0,0,0,4
15,1,"Foreign Policy",1,1,0,0,3,0,0,0,0,0,0,0,4,3,0,3,3,0,3,0,2,0,3,4,0,3,na,4,4,0,3,1,3,2,3,3,3,0,0,3,0,0,0,3,0,1,0,0,0,0,0,1,0,1,4,2,3,3,4,3,1,1,3,4,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,3,0,0
16,0,"Foreign Policy",4,4,0,0,0,0,4,4,0,4,0,0,4,4,0,0,4,0,0,na,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,na,0,0,0,4,0,0,0,0,0,0
17,0,"Foreign Policy",na,0,0,4,0,4,0,4,4,4,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,na,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
18,1,"Foreign Policy",na,0,0,0,0,2,0,0,0,0,na,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,na,na,0,0,1,0,3,0,0,0,0,0,na,na,na,0,0,0,na,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,na,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
19,1,"Foreign Policy",4,0,0,0,2,na,4,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,2,4,0,0,0,2,2,2,0,2,4,2,2,2,0,0,2,0,2,4,2,4,4,2,0,0,4,0,0,2,4,0,0,2,4,2,4,4,2,2,2,2,4,2,0,0,2,2,0,2,4
20,1,"Foreign Policy",0,0,0,2,4,2,4,4,0,4,2,2,2,0,4,2,2,2,2,2,2,2,2,2,4,2,0,2,0,0,4,4,4,0,0,0,0,0,0,0,4,2,2,na,4,2,0,0,0,2,2,2,4,4,2,0,0,2,0,0,0,na,0,0,0,2,0,4,4,2,2,2,0,2,2,0,0,2,4,0,2,4
21,1,"Foreign Policy",0,0,0,2,2,2,2,4,0,2,2,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,0,2,0,0,2,2,4,2,0,0,2,0,2,na,4,2,2,2,4,2,0,2,0,4,4,2,4,4,2,0,2,4,0,2,2,2,0,0,2,2,0,2,4,2,2,2,0,2,na,0,0,2,2,0,2,4
