"indicator no.",grading,domain,Georgia,Latvia,Armenia,Azerbaijan,Kazakhstan,Uzbekistan,Tajikistan,Kyrgyzstan,Jordan,Egypt,Lebanon,Belarus,Mongolia,Mexico,Panama,"Costa Rica",Peru,Venezuela,Chile,Ecuador,Colombia,"Sierra Leone",Ghana,Tanzania,Gambia,Algeria,France,Bangladesh,Lithuania,Bulgaria,Austria,Hungary,Belgium,"Bosnia and Herzegovina",Slovakia,Sweden,Finland,Denmark,Ireland,Albania,Montenegro,Serbia,Greece,"North Macedonia",Turkey,Iceland,Portugal,Romania,Moldova,Italy,Netherlands,Ukraine,Spain,Nicaragua,Bolivia,Paraguay,Pakistan,Afghanistan,Turkmenistan,India,Nigeria,"South Africa",Senegal,Ethiopia,Kenya,Singapore,Taiwan,Brazil,"Czech Republic",Estonia,Poland,Vietnam,Nepal,Russia,"New Zealand",Zimbabwe,"Democratic Republic of the Congo",Malaysia,Timor-Leste,Argentina,Uruguay,"El Salvador",Philippines,Thailand,Myanmar,Uganda,Mozambique,Angola,Japan,Indonesia,"South Korea","Saudi Arabia",Qatar,Canada,Cambodia,"United States",Germany,"United Kingdom",Australia,Israel,"Sri Lanka"
1,1,Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,3,0,0,3,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,3,0,0,0,1,0,0,0,3,0,2,0,0,3,1,1,3,0,1,0,0,0,4,4,0,4,0,0,0,0,0,3,0,0,0,1,2,1,0,0,0,4,1,2,2,1,2,0,0
2,1,Media,0,0,0,3,1,0,1,4,1,3,0,2,2,0,0,0,0,0,0,0,0,0,4,1,3,2,0,1,0,3,1,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,3,1,1,1,0,1,0,1,0,0,2,0,3,0,3,3,0,0,3,0,3,0,0,0,1,3,1,0,1,4,0,1,0,3,3,0,1,1,3,na,0,na,0,3,3,1,0,1,3,1,0,1,2,0,3
3,1,Media,0,0,1,0,4,0,0,4,4,3,0,1,3,3,0,1,3,3,3,1,0,4,3,2,4,4,0,3,0,2,1,0,1,2,3,1,0,0,1,1,1,na,1,0,1,0,1,1,3,0,1,1,0,4,0,1,4,1,3,1,3,3,0,2,3,4,2,na,1,0,1,3,2,2,0,4,2,3,3,4,1,0,3,3,2,3,1,2,1,3,4,1,na,4,1,1,1,3,1,1,na
4,1,Media,0,0,1,0,3,0,0,3,3,3,0,0,0,0,0,1,0,0,3,0,0,4,3,2,4,3,4,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,4,2,3,0,3,3,0,3,3,4,1,0,1,0,0,1,1,0,1,4,2,1,0,4,4,0,3,2,3,3,1,3,1,3,2,0,0,4,3,2,0,0,0,0,0
5,1,Media,4,0,3,3,0,0,0,4,3,4,4,0,3,1,4,4,4,4,3,3,2,0,0,2,0,3,2,3,0,3,2,1,3,0,1,0,1,0,3,1,0,2,0,0,4,0,1,1,0,1,0,1,1,4,0,0,3,1,0,1,3,0,3,0,3,4,4,0,1,1,2,1,3,2,0,0,0,3,0,3,1,3,1,3,3,4,1,3,2,3,1,1,1,4,1,2,2,4,4,1,3
6,1,Media,4,0,3,0,0,0,0,3,0,0,0,0,3,1,4,1,0,0,3,0,0,0,0,1,4,0,4,0,0,0,1,0,0,1,3,1,1,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,2,1,0,0,3,0,0,3,0,0,0,0,0,3,1,0,1,0,1,1,0,0,0,4,3,2,1,0,4,0,0
7,1,Media,3,0,3,0,3,1,0,3,1,3,0,0,3,0,4,4,4,3,4,3,1,1,3,2,4,0,2,3,0,3,0,1,1,3,3,1,1,0,0,1,0,1,4,0,1,0,1,1,0,1,0,0,2,4,1,0,4,1,0,0,3,3,3,3,4,4,4,2,1,1,2,0,3,0,3,4,3,4,0,3,0,1,1,3,1,4,2,1,2,3,0,1,4,4,4,1,2,3,1,1,2
8,1,Media,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,3,0,0,3,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,1,1,3,0,0,4,0,0,4,0,3,na,1,4,4,4,0,0,0,0,0,1,0,3,4,na,1,0,2,4,0,0,4,0,0,0,0,1,0,1,0,0,4,0,1,2,3,4,2,na
9,0,Media,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,4,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,na,4,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,4,0,4,0,0,4,0,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,4,4,4,4,4,4,4,0
10,1,Media,1,3,3,3,3,4,2,3,0,3,2,2,0,0,3,4,4,4,1,0,0,4,4,1,4,4,2,1,0,3,0,1,0,1,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,4,0,1,4,0,3,na,1,0,3,0,1,3,4,0,0,0,0,1,4,3,0,4,3,4,4,1,0,1,0,3,1,4,2,4,0,3,0,1,4,3,4,0,0,0,0,0,4
11,1,Media,0,0,0,1,0,0,0,0,3,3,0,0,0,0,4,0,0,0,3,0,0,1,0,0,2,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,3,0,0,0,1,1,0,0,3,0,0,0,4,3,4,0,1,0,0,0,0,3,1,2,0,1,0,0,0,0,1,0,0,1,na,0,1,1,1,0,1,4,3,1,1,1,3,0,1
12,0,"Foreign Policy",4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,4,0,4,4,4,0,na,0,4,0,4,4,4,4,4,4,4,0,4,4,4,4,0,4,0,4,4,0,4,0,4,0,4,4,0,0,4,4,0,4,0,4,4,4,4,4,4,4,4,4,0,4,4,0,0,4,na,4,4,4,4,0,4,4,4,0,4,4,4,0,0,4,4
