"indicator no.",Grading,Domain,Country,Score,Region,Layer
01,1,,Georgia,0,Europe,Exposure
01,1,,Latvia,0,Europe,Exposure
01,1,,Armenia,0,"North Africa & West Asia",Exposure
01,1,,Azerbaijan,0,"North Africa & West Asia",Exposure
01,1,,Kazakhstan,0,"Central Asia",Exposure
01,1,,Uzbekistan,0,"Central Asia",Exposure
01,1,,Tajikistan,0,"Central Asia",Exposure
01,1,,Kyrgyzstan,0,"Central Asia",Exposure
01,1,,Jordan,0,"North Africa & West Asia",Exposure
01,1,,Egypt,0,"North Africa & West Asia",Exposure
01,1,,Lebanon,0,"North Africa & West Asia",Exposure
01,1,,Belarus,0,Europe,Exposure
01,1,,Mongolia,0,"East & Southeast Asia",Exposure
01,1,,Mexico,0,"North America",Exposure
01,1,,Panama,0,"Central America & Caribbean",Exposure
01,1,,"Costa Rica",0,"Central America & Caribbean",Exposure
01,1,,Peru,1,"South America",Exposure
01,1,,Venezuela,1,"South America",Exposure
01,1,,Chile,3,"South America",Exposure
01,1,,Ecuador,0,"South America",Exposure
01,1,,Colombia,0,"South America",Exposure
01,1,,"Sierra Leone",0,"Sub-Saharan Africa",Exposure
01,1,,Ghana,0,"Sub-Saharan Africa",Exposure
01,1,,Tanzania,3,"Sub-Saharan Africa",Exposure
01,1,,Gambia,0,"Sub-Saharan Africa",Exposure
01,1,,Algeria,0,"North Africa & West Asia",Exposure
01,1,,France,3,Europe,Exposure
01,1,,Bangladesh,0,"South Asia",Exposure
01,1,,Lithuania,0,Europe,Exposure
01,1,,Bulgaria,0,Europe,Exposure
01,1,,Austria,1,Europe,Exposure
01,1,,Hungary,1,Europe,Exposure
01,1,,Belgium,0,Europe,Exposure
01,1,,"Bosnia and Herzegovina",0,Europe,Exposure
01,1,,Slovakia,1,Europe,Exposure
01,1,,Sweden,0,Europe,Exposure
01,1,,Finland,0,Europe,Exposure
01,1,,Denmark,0,Europe,Exposure
01,1,,Ireland,1,Europe,Exposure
01,1,,Albania,0,Europe,Exposure
01,1,,Montenegro,0,Europe,Exposure
01,1,,Serbia,0,Europe,Exposure
01,1,,Greece,1,Europe,Exposure
01,1,,"North Macedonia",0,Europe,Exposure
01,1,,Turkey,0,"North Africa & West Asia",Exposure
01,1,,Iceland,0,Europe,Exposure
01,1,,Portugal,1,Europe,Exposure
01,1,,Romania,1,Europe,Exposure
01,1,,Moldova,0,Europe,Exposure
01,1,,Italy,1,Europe,Exposure
01,1,,Netherlands,1,Europe,Exposure
01,1,,Ukraine,1,Europe,Exposure
01,1,,Spain,3,Europe,Exposure
01,1,,Nicaragua,0,"Central America & Caribbean",Exposure
01,1,,Bolivia,0,"South America",Exposure
01,1,,Paraguay,0,"South America",Exposure
01,1,,Pakistan,1,"South Asia",Exposure
01,1,,Afghanistan,0,"South Asia",Exposure
01,1,,Turkmenistan,0,"Central Asia",Exposure
01,1,,India,0,"South Asia",Exposure
01,1,,Nigeria,3,"Sub-Saharan Africa",Exposure
01,1,,"South Africa",0,"Sub-Saharan Africa",Exposure
01,1,,Senegal,2,"Sub-Saharan Africa",Exposure
01,1,,Ethiopia,0,"Sub-Saharan Africa",Exposure
01,1,,Kenya,0,"Sub-Saharan Africa",Exposure
01,1,,Singapore,3,"East & Southeast Asia",Exposure
01,1,,Taiwan,1,"East & Southeast Asia",Exposure
01,1,,Brazil,1,"South America",Exposure
01,1,,"Czech Republic",3,Europe,Exposure
01,1,,Estonia,0,Europe,Exposure
01,1,,Poland,1,Europe,Exposure
01,1,,Vietnam,0,"East & Southeast Asia",Exposure
01,1,,Nepal,0,"South Asia",Exposure
01,1,,Russia,0,Europe,Exposure
01,1,,"New Zealand",4,Oceania,Exposure
01,1,,Zimbabwe,4,"Sub-Saharan Africa",Exposure
01,1,,"Democratic Republic of the Congo",0,"Sub-Saharan Africa",Exposure
01,1,,Malaysia,4,"East & Southeast Asia",Exposure
01,1,,Timor-Leste,0,"East & Southeast Asia",Exposure
01,1,,Argentina,0,"South America",Exposure
01,1,,Uruguay,0,"South America",Exposure
01,1,,"El Salvador",0,"Central America & Caribbean",Exposure
01,1,,Philippines,0,"East & Southeast Asia",Exposure
01,1,,Thailand,3,"East & Southeast Asia",Exposure
01,1,,Myanmar,0,"East & Southeast Asia",Exposure
01,1,,Uganda,0,"Sub-Saharan Africa",Exposure
01,1,,Mozambique,0,"Sub-Saharan Africa",Exposure
01,1,,Angola,1,"Sub-Saharan Africa",Exposure
01,1,,Japan,2,"East & Southeast Asia",Exposure
01,1,,Indonesia,1,"East & Southeast Asia",Exposure
01,1,,"South Korea",0,"East & Southeast Asia",Exposure
01,1,,"Saudi Arabia",0,"North Africa & West Asia",Exposure
01,1,,Qatar,0,"North Africa & West Asia",Exposure
01,1,,Canada,4,"North America",Exposure
01,1,,Cambodia,1,"East & Southeast Asia",Exposure
01,1,,"United States",2,"North America",Exposure
01,1,,Germany,2,Europe,Exposure
01,1,,"United Kingdom",1,Europe,Exposure
01,1,,Australia,2,Oceania,Exposure
01,1,,Israel,0,"North Africa & West Asia",Exposure
01,1,,"Sri Lanka",0,"South Asia",Exposure
02,1,,Georgia,0,Europe,Exposure
02,1,,Latvia,0,Europe,Exposure
02,1,,Armenia,0,"North Africa & West Asia",Exposure
02,1,,Azerbaijan,3,"North Africa & West Asia",Exposure
02,1,,Kazakhstan,1,"Central Asia",Exposure
02,1,,Uzbekistan,0,"Central Asia",Exposure
02,1,,Tajikistan,1,"Central Asia",Exposure
02,1,,Kyrgyzstan,4,"Central Asia",Exposure
02,1,,Jordan,1,"North Africa & West Asia",Exposure
02,1,,Egypt,3,"North Africa & West Asia",Exposure
02,1,,Lebanon,0,"North Africa & West Asia",Exposure
02,1,,Belarus,2,Europe,Exposure
02,1,,Mongolia,2,"East & Southeast Asia",Exposure
02,1,,Mexico,0,"North America",Exposure
02,1,,Panama,0,"Central America & Caribbean",Exposure
02,1,,"Costa Rica",0,"Central America & Caribbean",Exposure
02,1,,Peru,0,"South America",Exposure
02,1,,Venezuela,0,"South America",Exposure
02,1,,Chile,0,"South America",Exposure
02,1,,Ecuador,0,"South America",Exposure
02,1,,Colombia,0,"South America",Exposure
02,1,,"Sierra Leone",0,"Sub-Saharan Africa",Exposure
02,1,,Ghana,4,"Sub-Saharan Africa",Exposure
02,1,,Tanzania,1,"Sub-Saharan Africa",Exposure
02,1,,Gambia,3,"Sub-Saharan Africa",Exposure
02,1,,Algeria,2,"North Africa & West Asia",Exposure
02,1,,France,0,Europe,Exposure
02,1,,Bangladesh,1,"South Asia",Exposure
02,1,,Lithuania,0,Europe,Exposure
02,1,,Bulgaria,3,Europe,Exposure
02,1,,Austria,1,Europe,Exposure
02,1,,Hungary,1,Europe,Exposure
02,1,,Belgium,0,Europe,Exposure
02,1,,"Bosnia and Herzegovina",1,Europe,Exposure
02,1,,Slovakia,0,Europe,Exposure
02,1,,Sweden,0,Europe,Exposure
02,1,,Finland,0,Europe,Exposure
02,1,,Denmark,0,Europe,Exposure
02,1,,Ireland,0,Europe,Exposure
02,1,,Albania,0,Europe,Exposure
02,1,,Montenegro,1,Europe,Exposure
02,1,,Serbia,3,Europe,Exposure
02,1,,Greece,0,Europe,Exposure
02,1,,"North Macedonia",0,Europe,Exposure
02,1,,Turkey,0,"North Africa & West Asia",Exposure
02,1,,Iceland,0,Europe,Exposure
02,1,,Portugal,3,Europe,Exposure
02,1,,Romania,1,Europe,Exposure
02,1,,Moldova,1,Europe,Exposure
02,1,,Italy,1,Europe,Exposure
02,1,,Netherlands,0,Europe,Exposure
02,1,,Ukraine,1,Europe,Exposure
02,1,,Spain,0,Europe,Exposure
02,1,,Nicaragua,1,"Central America & Caribbean",Exposure
02,1,,Bolivia,0,"South America",Exposure
02,1,,Paraguay,0,"South America",Exposure
02,1,,Pakistan,2,"South Asia",Exposure
02,1,,Afghanistan,0,"South Asia",Exposure
02,1,,Turkmenistan,3,"Central Asia",Exposure
02,1,,India,0,"South Asia",Exposure
02,1,,Nigeria,3,"Sub-Saharan Africa",Exposure
02,1,,"South Africa",3,"Sub-Saharan Africa",Exposure
02,1,,Senegal,0,"Sub-Saharan Africa",Exposure
02,1,,Ethiopia,0,"Sub-Saharan Africa",Exposure
02,1,,Kenya,3,"Sub-Saharan Africa",Exposure
02,1,,Singapore,0,"East & Southeast Asia",Exposure
02,1,,Taiwan,3,"East & Southeast Asia",Exposure
02,1,,Brazil,0,"South America",Exposure
02,1,,"Czech Republic",0,Europe,Exposure
02,1,,Estonia,0,Europe,Exposure
02,1,,Poland,1,Europe,Exposure
